iter	RMSE
0	452.0281375
1	444.2119821
2	436.8982345
3	430.0953686
4	423.6506501
5	417.6847249
6	412.1576488
7	406.9087884
8	401.9455775
9	397.1860527
10	392.9811649
11	388.9474456
12	385.2316263
13	381.7900415
14	378.5750967
15	375.3972126
16	372.2942978
17	369.2777608
18	366.5617144
19	364.1883215
20	361.8702596
21	359.4194881
22	357.4316186
23	355.4543683
24	353.5124708
25	351.5486022
26	349.9351572
27	348.2651737
28	346.4493625
29	345.0921365
30	343.5959037
31	342.0170658
32	340.7080668
33	339.3930321
34	338.1907669
35	336.7361798
36	335.5267692
37	334.3353096
38	333.2300372
39	331.861646
40	330.6969461
41	329.5611251
42	328.5422969
43	327.6758537
44	326.6849527
45	325.7452536
46	324.7976506
47	323.8301343
48	322.7032178
49	321.9447606
50	321.0320478
51	320.0901878
52	319.337778
53	318.510635
54	317.6515753
55	316.8554403
56	316.0310457
57	315.3396513
58	314.6158687
59	314.011863
60	313.1358063
61	312.6252725
62	311.8418251
63	311.1040448
64	310.6413897
65	310.0147842
66	309.3452837
67	308.832236
68	308.3841286
69	307.8607476
70	307.2019404
71	306.5916883
72	306.1378039
73	305.5742044
74	305.0068645
75	304.3183822
76	303.8065101
77	303.348992
78	302.7607368
79	301.9870982
80	301.6436089
81	301.1771352
82	300.855674
83	300.347649
84	299.9106747
85	299.5752114
86	299.1220579
87	298.7248948
88	298.4466016
89	297.9356629
90	297.4142511
91	296.7935171
92	296.383622
93	295.9985896
94	295.5242638
95	295.1023095
96	294.6716011
97	294.165268
98	293.8581588
99	293.3121305
100	292.9763737
101	292.6578603
102	292.2883874
103	291.94556
104	291.5422899
105	291.1914577
106	290.957874
107	290.6106793
108	290.3078436
109	289.9243744
110	289.5786834
111	289.2732477
112	289.0121391
113	288.5971199
114	288.3114846
115	288.0313065
116	287.637659
117	287.2659909
118	286.8703251
119	286.6091963
120	286.3323041
121	285.9313667
122	285.518939
123	285.2707876
124	285.0529143
125	284.7330291
126	284.305903
127	284.0494352
128	283.7521511
129	283.5099396
130	283.2790671
131	283.0965526
132	282.6491731
133	282.3283442
134	282.1042952
135	281.748883
136	281.4326551
137	281.1620122
138	280.8173443
139	280.5614864
140	280.3179996
141	279.9568759
142	279.7775477
143	279.5841469
144	279.2009613
145	278.8972382
146	278.5002868
147	278.1543512
148	277.9013546
149	277.578625
150	277.3316439
151	277.0079767
152	276.7588406
153	276.5563972
154	276.2872964
155	276.0589741
156	275.828356
157	275.5808764
158	275.3559183
159	275.0881989
160	274.8968901
161	274.7209079
162	274.4896107
163	274.0998715
164	273.7736113
165	273.5805496
166	273.3141286
167	273.0196632
168	272.8191471
169	272.5710059
170	272.3702663
171	272.2260307
172	272.0041043
