iter	Passed	Remaining
0	91	72830
1	102	40848
2	113	30082
3	124	24680
4	134	21458
5	146	19380
6	154	17539
7	163	16221
8	172	15184
9	182	14447
10	192	13803
11	201	13254
12	211	12830
13	221	12437
14	236	12358
15	245	12012
16	253	11686
17	262	11425
18	273	11234
19	282	11018
20	291	10794
21	299	10606
22	309	10453
23	318	10311
24	327	10158
25	337	10037
26	346	9918
27	355	9798
28	367	9769
29	376	9661
30	385	9551
31	394	9458
32	403	9372
33	411	9275
34	420	9185
35	428	9096
36	437	9017
37	447	8969
38	457	8919
39	467	8880
40	476	8814
41	486	8776
42	500	8818
43	509	8756
44	518	8694
45	528	8658
46	536	8599
47	545	8542
48	554	8504
49	564	8462
50	573	8420
51	582	8375
52	591	8339
53	602	8326
54	611	8284
55	621	8253
56	632	8246
57	641	8213
58	650	8166
59	659	8135
60	668	8096
61	676	8055
62	685	8023
63	694	7987
64	703	7949
65	712	7927
66	721	7896
67	730	7866
68	740	7842
69	749	7818
70	760	7807
71	769	7780
72	778	7753
73	787	7726
74	796	7703
75	804	7666
76	814	7647
77	823	7624
78	832	7599
79	841	7575
80	849	7544
81	858	7518
82	868	7503
83	877	7478
84	888	7470
85	896	7446
86	907	7439
87	916	7418
88	924	7384
89	933	7365
90	941	7337
91	949	7309
92	958	7288
93	967	7270
94	976	7245
95	985	7223
96	993	7201
97	1002	7181
98	1011	7163
99	1020	7145
100	1028	7118
101	1037	7097
102	1045	7076
103	1054	7055
104	1063	7036
105	1071	7012
106	1079	6991
107	1088	6972
108	1097	6955
109	1106	6940
110	1114	6920
111	1124	6908
112	1134	6895
113	1143	6878
114	1151	6859
115	1160	6844
116	1169	6829
117	1178	6813
118	1187	6798
119	1196	6780
120	1206	6768
121	1214	6749
122	1222	6731
123	1231	6716
124	1241	6702
125	1249	6684
126	1260	6679
127	1269	6665
128	1277	6647
129	1286	6631
130	1295	6616
131	1304	6601
132	1312	6584
133	1322	6572
134	1330	6553
135	1339	6538
136	1347	6522
137	1355	6504
138	1364	6487
139	1372	6468
140	1381	6458
141	1391	6447
142	1400	6432
143	1408	6414
144	1417	6403
145	1426	6389
146	1434	6374
147	1443	6359
148	1450	6338
149	1459	6324
150	1467	6305
151	1476	6292
152	1484	6278
153	1493	6266
154	1503	6257
155	1513	6246
156	1522	6236
157	1531	6222
158	1540	6211
159	1549	6198
160	1558	6185
161	1568	6175
162	1576	6162
163	1586	6151
164	1594	6135
165	1602	6119
166	1612	6112
167	1621	6099
168	1630	6089
169	1639	6077
170	1648	6064
171	1657	6051
172	1667	6043
